ASIN,Product Name,Category,Keyword,Unit Count,Number of Reviews,Average Review Score,Manufacturer,Price
B0773WT6D7,Degree Advanced Antiperspirant Deodorant Stress Control 72-Hour Sweat &amp; Odor Protection Antiperspirant for Women with MotionSense Technology 2.6 oz,deodorant,women,3,16,4.5,,$4.98
B09KWH7DPN,"Ballsy Boob and Thigh Deodorant, Quick Drying Liquid Powder, Protects from Sweat, Odor, and Irritation 3.4 oz - Valentines Day Gifts for Him",deodorant,women,3,4606,4.4,,$12.00
B07ZGBV2CZ,"Native Deodorant | Natural Deodorant Seasonal Scents for Women and Men, Aluminum Free with Baking Soda, Probiotics, Coconut Oil and Shea Butter | Lilac &amp; White Tea",deodorant,women,3,8745,4.6,,$12.97
B00CHJUJTO,Degree Clinical Protection Antiperspirant Deodorant 72-Hour Sweat &amp; Odor Protection Shower Clean Antiperspirant for Women 1.7 oz,deodorant,women,2,12017,4.6,,$8.87
B0BX6M2RQF,"Secret Aluminum Free Deodorant for Women, Rose, 2.4 oz",deodorant,women,2,71,4.4,,$8.49
B00HF3XSO0,Secret Clinical Strength Antiperspirant and Deodorant for Women Invisible Solid Completely Clean 2.6 Oz,deodorant,women,3,24079,4.7,,$12.97
B07JNK5G5D,TIARA Natural Deodorant - Natural Deodorant for Women and Men - Aluminum Free Deodorant - Paraben Free Vegan Deodorant with Shea Butter and Vitamin E - 24 Hour Odor Control - Melon &amp; Cucumber,deodorant,women,3,110,4,,$15.99
B0BFHQZJY5,"Aluminum-Free Natural Deodorant for Men by Bravo Sierra, 2-Pack - Long Lasting All-Day Odor and Sweat Protection - Citrus and Cedarwood, 3.2 oz - Paraben-Free, Baking Soda Free, Vegan &amp; Cruelty-Free",deodorant,men,6,9178,4.1,,$27.00
B000J5A2K4,"Pit Boss Men’s Deodorant, Antiperspirant &amp; Deodorant, Sensitive Skin Formula, Maximum Odor &amp; Sweat Control, Long-Lasting Protection",deodorant,men,3,4603,4.5,,$22.00
B075JRT85B,Degree Men UltraClear Antiperspirant Deodorant Black+White 2 Count 72-Hour Sweat &amp; Odor Protection Antiperspirant For Men With MotionSense Technology 2.7 oz,deodorant,men,5,30954,4.7,,$7.98
