ASIN,Product Name,Category,Keyword,Number of Reviews,Average Review Score,Manufacturer,Price,Unit Count
B07GQKG5NQ,Wilkinson Sword Extra 2 Sensitive Male Disposable Razors 5 Per Pack,razors,men,,,,,
B01LZU78EK,Five Blade Disposible Razors - 2ct,razors,men,2.0,5.0,,,
B09Q6GRYYJ,"Cleaning Scraper, Simple Operation 2Pcs Razor Scrapers ABS Ergonomic Handle for Car(Black+Blue)",razors,men,,,,,
B00RM1ICRI,"Graham Safety Razor W 10 Blades, Thank You",razors,men,3.0,5.0,,4.49,
B09Z21S9Q9,"3 Layered Razors Blades, Non Irritating Manual Men Blades for Perfect Present for Male",razors,men,,,,4.49,
B075FN2VVS,DORCO SUPER FRESH TWIN BLADE DISPOSABLE RAZORS - 10CT,razors,men,50.0,3.9,,4.62,
B07BMY4FY8,"BIC Flex 3 Hybrid Disposable Razors for Men, Long-lasting 3-Blade Razors With Slim Head for Precision Shaving, 1 Handle and 5 Cartridges, 6 Piece Shaving Kit",razors,men,1388.0,4.3,,7.75,
B00RD0DOR6,WILKINSON SWORD - Xtreme 3 for Men | Ultimate Comfort with Aloe Vera | 4 x Disposable Razors,razors,men,733.0,4.2,,4.75,
B07J5SSVKM,"Medpride Disposable Razors | 10-Pack| Twin Blades & Easy Grip For Max Control & Smoothness| Unisex, Smooth & Comfortable Shaving Care for Men & Women",razors,men,199.0,3.5,,4.79,
B0018MMXD6,"Supermax Mens' Twin Disposable Razors, 10 Pack",razors,men,,,,,
B0CQPPJG7V,"BIC Sensitive 3 Disposable Razors for Men With 3 Blades for Sensitive Skin, 5 Count Pack of Shaving Razors",razors,men,,,,4.92,
B07SDGDJPH,Derby Lady Razor 5 PCS,razors,men,1.0,3.0,,4.94,
B09Q8CCGDV,Retractable Razor Scraper,razors,men,,,,4.95,
B00TPXEGTY,"Bic Metal Men's Disposable Shaving Razors, 5-Count x 1 Pack",razors,men,480.0,4.3,,4.99,
B076B4XFZ7,Wholesale Personna Mens Razors 8ct Twin Blade,razors,men,23.0,4.3,,4.99,
B07BX1RQK5,STUDIO 35 MEN'S RAZOR,razors,men,4.0,5.0,,4.99,
B00Y5X816I,Schick Slim Twin Disposable Double Blade Razors 2 pk,razors,men,,,,4.99,
B0CNSY94TX,2 Pcs Men Razor Hanger Shaver Holder Storage Bathroom Accessories Plastic Free Punch HookWall Suction Cup Brush Blade Holder,razors,men,,,,4.99,
B0C3CG5SFB,Men Shaving Razor Portable Travel Storage Manual Razor Protective Silicone Cover,razors,men,,,,4.99,
B00QMGK2MC,Razor (Compatible),razors,men,1610.0,4.4,,5.24,
B0CSYVRC8R,Stainless steel three-layer razor blade Disposable Razor Men's disposable manual razor razor (1),razors,men,,,,5.0,
B09XBDPFZ5,Derby Razor 5 Pack Samurai2,razors,men,,,,5.24,
B07CKNBCRB,6-Blades-Disposable-Shaving-Razor-System-Twin-Value-Pack,razors,men,64.0,4.0,,5.25,
B07N2BM5FY,Dorco Super Fresh Twin Blade Disposable Razors - 10ct,razors,men,,,,5.25,
B07YNS39YN,"Twin Blade Disposable Razors with Lubricating Strips, 10-ct. Packs",razors,men,21.0,3.7,,5.36,
B00D1G8XA4,"BIC Comfort 3 Refillable Three-Blade Disposable Razor for Men, Sensitive Skin Razor For a Comfortable Shave, 1 Handle and 6 Cartridges, 7 Piece Razor Set",razors,men,24856.0,4.4,,5.43,
B000M42F3O,"Bic Men Classic Sensitive Disposable Razors, 5 Count (Pack of 1)",razors,men,713.0,3.9,,5.99,
B073PBCS9X,"Wilkinson Sword Pronto Disposable Razors, 1 Bag x 5 Pieces",razors,men,167.0,4.0,,5.5,
B0013AJLTM,Personna Twin Blade Plus Disposable Razors with Lubricating Strip 5 Pack(s),razors,men,4.0,4.8,,5.99,
B00CGTCSJ4,"Schick Exacta2 Sensitive Disposable Razor, 10 Count (1Pack)",razors,men,7520.0,4.5,,5.59,
B09DV3YQX3,"Razors Case,Portable Travel Manual Razors Storage Box Transparent Breathable Razors Handle Protect Box for Men",razors,men,,,,5.59,
B07HZFGHVF,"Schick Xtreme Pivot Ball Razor — Disposable Razors Men, Pivot Razor, Schick Pivot Ball, 3 Count",razors,men,787.0,4.4,,5.94,
B07MY2V7WC,"Amazon Basics 3-Blade Motion Sphere Razor for Men with Dual Lubrication, Handle & 2 Cartridges, Cartridges Fit Amazon Basics Razor Handles only, 3 Piece Set, Black (Previously Solimo)",razors,men,7166.0,4.3,,5.89,
B09SKXL8G6,"3 Pcs/set Shaving Blades for Men, Blades Holder Shaver Razor Blades for Travel",razors,men,,,,5.89,
B0799S6LBZ,Triple Blade Razors,razors,men,5.0,4.6,,6.39,
B07JYZ41LG,"QSHAVE - Portable Travel Razor Protector Hard Case for Manual Razor System (6-1/2"" X 2-1/2"" X 1""), 1PC, (No Razor In)",razors,men,809.0,4.4,,5.99,
B0B3PZWY74,[10-Pack] E & D Creations Comfort Touch Disposable Twin Blade Stainless Steel Razors with Contour Handle,razors,men,3.0,2.1,,5.99,
B013TZUIYA,Beauty 360 Precision Razors,razors,men,2.0,5.0,,,
B00DVI5CUG,Koleimports Mens Quadruple Blade Disposable Safe Shave Razors,razors,men,,,,5.99,
B0CSQLGNYF,"Shampoo Bar For Gray Hair Shampoo Bar For Grey Hair Shampoo Bar For Thinning Hair Shampoo Conditioner Bars Hair Mayonnaise (B, One Size)",shampoo,women,,,,,
B0C3RSBZW7,"Hair Ear Cover 200pcs Earmuffs Caps Protector Coloring Shower Clear Hair Care Shampoo Color Depositing (White, One Size)",shampoo,women,,,,,
B00UOL93CG,"Neutrogena T/Sal Therapeutic Shampoo for Scalp Build-Up Control with Salicylic Acid, Scalp Treatment for Dandruff, Scalp Psoriasis & Seborrheic Dermatitis Relief, 4.5 fl. oz",shampoo,women,7253.0,4.5,,6.99,
B075KPX9LJ,"OGX Restoring + Bonding Plex Salon Technology Shampoo, 13 Ounce, 385 Fl oz",shampoo,women,448.0,4.2,,0.56,
B003VDGE80,"TRESemmé Shampoo Luxurious Moisture 3 oz, 88 Ml (639123)",shampoo,women,29.0,4.0,,,
B0746N1T65,Silky Moisturizing Shampoo With Egg White+Propolis(200ml) 2307273,shampoo,women,1.0,5.0,,1.49,
B01M6BA0VT,"Pantene Pro-V Shampoo, Cleanse and Nourish for Dry Damaged Hair, Daily Moisture Renewal, Safe for Color Treated Hair, Paraben Free, for Women and Men, 3.38 oz",shampoo,women,218.0,4.4,,1.59,
B0CCCWB69W,Mins Shampoo Herbal Darkening Control Hair 30ml Frizz 10 Hair Care Scalp Concealer,shampoo,women,,,,,
B0C2J276GC,Makeup2ML Peeling HandMask Skin White Hard Exfoliating Dead Skin Care Hair Shampoo forSmooth Skin,shampoo,women,,,,1.66,
B0CC9CPX8P,For Treated Natural Vegan Women For HairSolid Dry And Shampoo Shampoo Soap Hair Hair Damaged For Men Bar Conditioner for Dry Hair,shampoo,women,,,,,
B079DF478L,Suave Professionals Shampoo For Fine to Flat Hair Rose Oil Infusion Volumizing Shampoo 12.6 oz,shampoo,women,360.0,4.6,,1.78,
B0C49XZW4S,Solid Shampoo Soap Hair Care Is Gentle And Helps Ensure Nourishment And Hair For All Hair Types Chapped Hair Soap For Hair And Care For Hair Hair Products for Dry Damaged Hair And Growth,shampoo,women,,,,,
B0B4BFHZ33,"Suave Essentials Energizing Shampoo, Infused with Strawberry Extract and Vitamin E, Strawberry Hair Shampoo with a Long Lasting Fragrance 22.5 oz",shampoo,women,7.0,4.2,,,
B0C3LWYRVF,"Damaged Soap Shampoo Hair For HairSolid Hair Natural And Shampoo Vegan For Treated Bar Dry Women For Men Deep Conditioner for Dry Damaged Hair (M, One Size)",shampoo,women,,,,,
B000A7KC9M,"Giovanni 50/50 Balanced Shampoo, 2 Fluid Ounce",shampoo,women,28.0,4.3,,6.04,
B0CDGZTJTF,"Shampoo Bar For Hair, Solid Shampoo Bar, Natural Darkening Shampoo Bar, Hair Soap,Helps Stop Hair Loss, Hair Regrowth, Hair Loss Treatmention for Men & Women (Clear, One Size)",shampoo,women,,,,1.99,
B0B4T33GZW,100PCS Earmuffs Disposable Dyed Waterproof Earmuffs Hair Plastic Earmuffs Baked Hair Care Sent from Earth Shampoo,shampoo,women,,,,1.99,
B089MCVF9N,"Malibu C Un-Do-Goo Shampoo - Clarifying Shampoo to Remove Product Build Up + Resins from Hair - Shine Restoring, Moisturizing Cleansing Shampoo",shampoo,women,4625.0,4.5,,2.0,
B0C3RMP5SZ,"Shampoo Mild Natural Bar Darkening Darkening Polygonum Soap Hair Hair Care Natural Hair Conditioner for Dry Hair (Black, One Size)",shampoo,women,,,,,
B07ZJWLN9T,"TRESemmé Pro Pure Shampoo For Daily Moisture Light Moisture Paraben Free, Dye Free Shampoo 16 oz",shampoo,women,87.0,4.3,,14.59,
B07LCHC875,"Aussie For fine Hair Aussie Paraben Shampoo, 12.1 Fl Oz (Pack of 1) (427731)",shampoo,women,270.0,4.4,,2.18,
