ASIN,Product Name,Category,Keyword,Number of Reviews,Average Review Score,Manufacturer,Price,Unit Count
B001F51QSY,"Gillette Mach3 Men's Disposable Razors, 3 Count",razors,men,1121,4.5,,6.94,
B07DZYGDS3,"Gillette Fusion5 Razors for Men, 1 Razor, 4 Blade Refills, Lubrastrip for a More Comfortable Shave",razors,men,34831,4.7,,20.0,
B07DZYGDSF,"Gillette Fusion ProGlide Razors, Men 1 Gillette Razor, 4 Razor Blade Refills, Shields Against Skin Irritation",razors,men,18631,4.7,,19.99,
B00CGTCSJ4,"Schick Exacta2 Sensitive Disposable Razor, 10 Count (1Pack)",razors,men,7520,4.5,,5.59,
B06X9V77XY,"Gillette Mach3 Razor for Men, 1 Razor Handle + 2 Blade Refills",razors,men,18427,4.6,,9.97,
B005FVBCI8,"Gillette Sensor2 Disposable Razors for Men, Water Activated Lubrastrip to Help Avoid Skin Irritation, 18 count",razors,men,6370,4.6,,14.97,
B001JQLNH8,"Gillette Mach3 Disposable Razors for Men, 6 Count, Designed for Sensitive Skin",razors,men,9265,4.6,,13.47,
B0039LMTHE,"Gillette Mach3 Razor Refills for Men, 15 Razor Blade Refills",razors,men,75084,4.7,,36.95,
B09SGLQNS5,Harry's Razor Blades Refills - Razors for Men - 14 count,razors,men,32271,4.7,,31.49,
B0CP6JTQ4X,"Gillette Sensor3 Comfort Men's Disposable Razors, 12 Razors",razors,men,1,5.0,,14.97,
B0BD84FYC3,The Cut- Factory- Straight Razor with 100 Pack Platinum Treat Professional Barber Single Blade Edge Razors for Men for Close Shaving 100 Percent Stainless Steel-Black,razors,men,978,4.4,,9.99,
B004E3ION4,"BIC Comfort 3 Advance Disposable Razors for Men for an Ultra-Soothing, Comfortable Shave, 4-count Packs of Disposable Razors With 3 Blades",razors,men,1319,4.4,,6.19,
B0B9HQSMFN,"Gillette Intimate Manscape Razor, Men’s Pubic Razor, Gentle and Easy to Use, Designed For Pubic Hair, 1 Razor Handle, 2 Razor Blade Refills, Manscaping Body Razor, Mens Razor",razors,men,911,4.6,,19.97,
B07NTVPK21,"Gillette Mens Razor Blade Refills, 10 Fusion5 Cartridges, 2 ProGlide Cartridges, Lubrastrip for a More Comfortable Shave 12 Count(Pack of 1)",razors,men,19192,4.7,,42.94,
B004B8F8MM,"Gillette Fusion5 Power Razor Blade Refills, 8 Count, Lubrastrip for a More Comfortable Shave for Men",razors,men,52860,4.7,,29.99,
B09R8NKPK5,Cremo Astonishingly Superior Barber Grade Refillable System Razor,razors,men,594,4.4,,13.87,
B096KZRPMY,"Amazon Basics Twin Blade Pivoting Disposable Razors with Rubber Grip, 32 Count, 1-Pack (Previously Solimo)",razors,men,2677,4.1,,7.44,
B09PNXRS17,Harry's Razors for Men - Shaving Razors for Men includes a Mens Razor and 3 Razor Blade Refills (Ocean Blue),razors,men,5270,4.5,,11.99,
B07CYH1Y8M,"Gillette Fusion5 Power Razor for Men, 1 Gillette Power Razor Handle + 1 Blade Refill",razors,men,8497,4.7,,12.7,
B01COZ6OW6,"Schick Quattro Titanium Razor — Schick Quattro, Quattro Razor, Titanium Razor with 3 Refill Blades",razors,men,2534,4.5,,7.49,
B076DHZZZ1,Dorco Fresh Twin Blade Disposable Razors (6 packs),razors,men,3448,4.4,,8.99,
B004B8AZH0,"Gillette Fusion5 Mens Razor Blade Refills, 12 Count, Lubrastrip for a More Comfortable Shave",razors,men,17868,4.7,,42.0,
B07SJ92DVT,"Harry's Razors for Men - Men's Razor Set with 5 Razor Blade Refills, Travel Blade Cover, 2 oz Shave Gel (Ocean Blue)",razors,men,13708,4.6,,19.99,
B074R72VGP,Premium Men's 6-Blade Razor Kit (Flex Head Handle + 4 Refills),razors,men,1590,4.5,,12.99,
B0BD4CSBXP,"The Cut- Factory- Straight Razor with 100 Pack Platinum Treat Single Straight Edge Razor for Close Shaving 100 Percent Wood, Blade Razors for Men: Professional Barber (Brown)",razors,men,187,4.5,,14.99,
B0BTMQ4CD3,"BIC Sensitive Disposable Razors for Men, Long-Lasting 1 Blade Razors for Sensitive Skin, 52 Count Shaving Razors Orange",razors,men,437,4.2,,12.47,
B0BHF2HKY8,"BIC EasyRinse Anti-Clogging Men's Disposable Razors for a Smoother Shave With Less Irritation*, Easy Rinse Shaving Razors With 4 Blades, 6 Count",razors,men,383,4.0,,11.8,
B00PKHIDRA,WEISHI Safety Razor Double Edge Nostalgic Long Handle Butterfly Open Razor,razors,men,13891,4.5,,15.66,
B00NNU0ATU,Gillette Mach-3 Cartridge - Pack of 4,razors,men,4497,4.6,,9.99,
B093K4LF1Q,Bic Comfort Razor 3 For Men - 70330713802,razors,men,1,5.0,,2.03,
B0C1TYTZZQ,"Matte Black Double Edge Safety Razor for Men, with 10 Platinum Coated Double Edge Safety Razor Blades, Single Blade Razor for Men Shaving, Reusable Travel Essentials Women Razor",razors,men,1089,4.1,,9.99,
B0168MB6QU,"Gillette ProGlide Shield Razor Refills for Men, 4 Blade Refills",razors,men,18549,4.7,,17.97,
B072M5FFZ5,"Gillette ProGlide Shield Razor for Men, 1 Gillette Razor, 4 Razor Blade Refills, Shields Against Skin Irritation",razors,men,11597,4.7,,23.0,
B0092K7C1O,"Gillette Mach3 Razor for Men, 1 Razor Handle + 1 Blade Refill",razors,men,4967,4.5,,6.99,
B07Q1JNPRH,"50 Count Double Edge Razor Blades - Men's Safety for Shaving Platinum Japanese Stainless Steel a Smooth, Precise and Clean Shave",razors,men,17243,4.5,,,
B07525QJC8,L’Oréal Paris Elvive Total Repair 5 Repairing Shampoo for Damaged Hair Shampoo with Protein and Ceramide for Strong Silky Shiny Healthy Renewed Hair 28 Fl Oz,shampoo,women,32807,4.6,,7.68,
B01N97PCBH,"Fructis Pure Clean Purifying Shampoo, Silicone-Free, 12.5 Fl Oz, 1 Count (Packaging May Vary)",shampoo,women,20368,4.5,,3.47,
B0B941W753,"MONDAY HAIRCARE Volume Shampoo + Conditioner Set (2 Pack) 12oz Each for Thin, Fine, and Oily Hair, Made from Coconut Oil, Ginger Extract, & Vitamin E, 100% Recyclable Bottles",shampoo,women,1876,4.1,,13.99,
B084LHV2M1,Herbal Essences Hello hydration shampoo shampooing for hair 29.2 FL OZ (Packaging may vary),shampoo,women,2401,4.6,,7.97,
B07D37PQGL,Olaplex No. 4 Bond Maintenance Shampoo,shampoo,women,70148,4.6,,30.0,
B0752FXRQJ,"L’Oréal Paris Elvive Volume Filler Thickening Shampoo, 28 fl. oz.",shampoo,women,4898,4.5,,9.49,
B0BCR23QDG,"L’Oréal Paris Elvive Hyaluron Plump Hydrating Shampoo for Dehydrated, Dry Hair Infused with Hyaluronic Acid Care Complex, Paraben-Free, 12.6 Fl Oz",shampoo,women,1553,4.5,,4.49,
B07HMVMTN6,"Aveeno Scalp Soothing Shampoo, Apple Cider Vinegar Blend, 12 Fl Oz",shampoo,women,13769,4.4,,5.99,
B092PQ32BV,"MONDAY Haircare Volume Shampoo 12oz for Thin, Fine, and Oily Hair, Made from Coconut Oil, Ginger Extract, & Vitamin E, 100% Recyclable Bottles (354ml), Pink (10428)",shampoo,women,1287,4.1,,6.97,
B008J2GP9G,"OGX Renewing + Argan Oil of Morocco Hydrating Hair Shampoo, Cold-Pressed to Help Moisturize, Soften & Strengthen Hair, Paraben-Free with Sulfate-Free Surfactants, 25.4 fl oz",shampoo,women,7934,4.6,,11.99,
B0098QPV3I,Moroccanoil Hydrating Shampoo,shampoo,women,22206,4.6,,26.0,
B084LHNR57,"Herbal Essences Rose Hips Smooth Shampoo, 29.2 fl oz",shampoo,women,3890,4.7,,9.97,
B074VLGVJ3,"Fructis Grow Strong Shampoo, 33.8 Fl Oz, 1 Count (Packaging May Vary)",shampoo,women,12063,4.6,,8.47,
B003JKDNQQ,"Paul Mitchell Awapuhi Shampoo, Original Wash, Balances Moisture, For All Hair Types",shampoo,women,15846,4.7,,17.5,
B0B9T85DHH,"Kristin Ess Signature Salon Sulfate Free Shampoo and Conditioner Set for Moisture, Softness + Shine - Avocado Oil - Anti Frizz + Clarifying - Hydrates + Repairs - Vegan, Paraben Free + Color Safe",shampoo,women,2823,4.4,,21.94,
B076S6KMY9,"OGX Extra Strength Refreshing Scalp + Teatree Mint , Invigorating Scalp Shampoo with Tea Tree & Peppermint Oil & Witch Hazel, Paraben/ Sulfate-Free Surfactants, 13 fl oz",shampoo,women,13592,4.5,,7.0,
B088SKYMF2,"Nexxus Clean and Pure Clarifying Shampoo, With ProteinFusion, Nourished Hair Care Silicone, Dye And Paraben Free 33.8 oz",shampoo,women,2421,4.5,,18.99,
B002KG28PW,"OGX Nourishing Coconut Milk Shampoo for Strong, Healthy Hair - With Coconut Oil, Egg White Protein, Sulfate & Paraben-Free - 25.4 fl oz",shampoo,women,6560,4.6,,10.39,
B000H0Y4NW,"Extra-Body Shampoo, Thickens + Volumizes, For Fine Hair",shampoo,women,4924,4.5,,14.5,
B07HMK15G9,"Aveeno Scalp Soothing Fresh Greens Blend Shampoo, rosemary,peppermint, 12 Fl Oz",shampoo,women,8654,4.5,,8.12,
B08KSLGXFH,"Neutrogena Exfoliating Healthy Scalp Clarify & Shine Shampoo for Oily Hair and Scalp, Anti-Residue Shampoo with Pink Grapefruit, pH-Balanced, Paraben & Phthalate-Free, Color-Safe, 12oz",shampoo,women,6395,4.4,,8.79,
B086S4Q7JH,"Herbal Essences Shampoo and Conditioner Set, Vitamin E, Rose Hips and Jojoba Extract, Smooth Collection, 29.2 Fl Oz Each",shampoo,women,13088,4.7,,19.97,
B08BTMXSG6,TRESemmé Shampoo Moisture Rich 3 Count for Dry Hair Professional Quality Salon-Healthy Look and Shine Moisture Rich Formulated with Vitamin E and Biotin 28 oz,shampoo,women,4284,4.7,,17.97,
B084LJ5XJ3,"Herbal Essences Shine Collection Shampoo, 29.2 fl oz",shampoo,women,1999,4.7,,9.97,
B000TGEJT8,"OGX Nourishing Coconut Milk Shampoo for Strong, Healthy Hair with Coconut Oil, Egg White Protein, Sulfate-Free, 13 fl oz",shampoo,women,12730,4.6,,6.97,
B0BS56VQGF,"Pantene Sulfate Free Shampoo with Rice Water, Protects Natural Hair Growth, Volumizing, for Women, Nutrient Infused with Vitamin B5, Safe for Color Treated Hair, Pro-V Blends, 30.0 oz",shampoo,women,433,4.5,,20.99,
B00IK1CJZU,"Biolage Hydra Source Shampoo | Hydrates & Moisturizes Dry Hair | Helps Repair Split Ends | For Dry Hair | Salon Shampoo | Weightless, Soft Finish | Vegan | Paraben & Cruelty-Free",shampoo,women,16698,4.7,,42.0,
B01INE0KAY,Dove Nutritive Solutions Moisturizing Shampoo Daily Moisture for Dry Hair with Pro-Moisture Complex for Manageable and Silky Hair 12 oz (Pack of 4),shampoo,women,4223,4.7,,15.92,
B00OO0J9UY,"SheaMoisture Intensive Hydration Shampoo for Dry, Damaged Hair Manuka Honey and Mafura Oil Sulfate-Free 13 oz",shampoo,women,8325,4.5,,9.79,
B004ISW5YY,"OGX Brazilian Keratin Therapy Shampoo for Shiny Hair, Sulfate-Free, with Coconut Oil and Avocado Oil, 13 Fl Oz",shampoo,women,8898,4.5,,6.97,
B0BHMCRDT1,"Fructis Grow Strong Thickening Shampoo for Fine Hair, Biotin-C, 33.8 Fl Oz, 1 Count (Packaging May Vary)",shampoo,women,579,4.6,,9.38,
B07N7MWX72,"Mielle Organics Rosemary Mint Strengthening Shampoo Infused with Biotin, Cleanses and Helps Strengthen Weak and Brittle Hair, 12 Ounces",shampoo,women,15093,4.5,,8.99,
B07K4S4J66,Biotin Shampoo and Conditioner Set - Sulfate and Paraben Free Treatment for Men and Women - Hair Thickening Volumizing Products to Help Boost Thinning Hair with Added Keratin,shampoo,women,27198,4.3,,26.99,
B00JAHVSNM,Color Last Shampoo | Helps Protect Hair & Maintain Vibrant Color | For Color-Treated Hair | Paraben & Silicone-Free | Vegan | Cruelty Free | Color Protecting Salon Shampoo,shampoo,women,35664,4.7,,24.0,
B00JAJWG72,Biolage Volume Bloom Shampoo | Volumizing Shampoo | Lightweight Volume & Shine | For Fine Hair | Paraben & Silicone-Free | Vegan​ | Cruelty Free | Salon Shampoo,shampoo,women,11526,4.7,,24.0,
B01MFF7A02,"Fructis Color Shield Shampoo, Fortifying Shampoo for Color Treated Hair, Works on All Types of Hair and Color, Vegan and Paraben Free, 12.5 fl. oz.",shampoo,women,2929,4.6,,3.47,
B006Z8B5HS,It's A 10 Haircare Miracle Shampoo w/Keratin - 10 oz. - 1ct,shampoo,women,5319,4.7,,,
B09GV3RGW2,"Pantene Shampoo, Conditioner and Hair Treatment Set, Daily Moisture Renewal for Dry Hair, Safe for Color-Treated Hair",shampoo,women,3769,4.7,,19.99,
B00AINMFAC,"Nizoral Anti-Dandruff Shampoo with 1% Ketoconazole, Fresh Scent, 7 Fl Oz",shampoo,women,88482,4.6,,15.52,
B0891843GC,Pureology Hydrate Moisturizing Shampoo | Softens and Deeply Hydrates Dry Hair | For Medium to Thick Color Treated Hair | Sulfate-Free | Vegan,shampoo,women,14250,4.7,,37.0,
B08D7J83PZ,"L'Oreal Paris Elvive Dream Lengths Shampoo and Conditioner Kit, Paraben Free, 1 kit",shampoo,women,17023,4.6,,15.99,
B079RDR8ZD,Volumizing Biotin Shampoo for Thinning Hair - Thin Hair Shampoo with Rosemary Argan and Essential Oils for Hair Care - Vegan Sulfate Free Shampoo for Damaged Dry Hair Paraben and Cruelty Free,shampoo,women,53278,4.3,,23.95,
B071NVVNK3,"OGX Thick & Full + Biotin and Collagen Shampoo, 25.4 Fl Oz",shampoo,women,3705,4.5,,12.28,
B08SSPQGZW,Extreme Length Shampoo | Infused With Biotin | For Hair Growth | Prevents Breakage & Strengthens Hair,shampoo,women,6711,4.6,,26.0,
B0B941XTDZ,"MONDAY HAIRCARE Moisture Shampoo + Conditioner Set for Dry, Coarse, Stressed, Coily & Curly Hair, Made from Coconut Oil, Rice Protein, Shea Butter, & Vitamin E, All-Natural, 12 Fl Oz (Pack of 2)",shampoo,women,2255,4.2,,17.98,
B00ADRH2OM,"OGX Thick & Full + Biotin & Collagen Volumizing Shampoo for Thin Hair, Thickening Shampoo with Vitamin B7 & Hydrolyzed Wheat Protein, Paraben-Free, Sulfate-Free Surfactants, 13 fl oz",shampoo,women,5329,4.5,,6.97,
B003E1CYHO,"Tea Tree Special Shampoo, Deep Cleans, Refreshes Scalp, For All Hair Types, Especially Oily Hair",shampoo,women,55590,4.7,,18.0,
B000RYYI7K,Dove Ultra Care Shampoo Daily Moisture for Dry Hair Shampoo with Bio-Restore Complex 20.4 oz,shampoo,women,2199,4.6,,5.98,
B0CP6D683W,"DOVE MEN+CARE DV M SH Charcoal 4p 31z Pump Purifying Shampoo Charcoal + Clay for Stronger, More Resilient Hair, with Plant-Based Cleansers, 31 oz",shampoo,men,31,4.9,,9.99,
B08Q427N3W,"Method Men 2-in-1 Shampoo and Conditioner, Sea and Surf, Paraben and Phthalate Free, 14 fl oz, 1 Ct",shampoo,men,316,4.6,,10.98,
B0CMVM7BBF,"Dove Men+Care 2-in-1 Shampoo + Conditioner Sandalwood & Cardamom Oil for Thick & Full Hair, + Vitamin B3 & Mineral Complex, 17.5 oz",shampoo,men,32,4.9,,10.99,
B003E1CYHO,"Tea Tree Special Shampoo, Deep Cleans, Refreshes Scalp, For All Hair Types, Especially Oily Hair",shampoo,men,55590,4.7,,18.0,
B07YS58Y2C,"American Crew Shampoo for Men, Daily Cleanser, Naturally Derived, Vegan Formula, Citrus Mint Fragrance, 8.45 Fl Oz",shampoo,men,2345,4.6,,9.98,
B09VL4VLTQ,DOVE MEN + CARE Fortifying 2 in 1 Shampoo and Conditioner for Normal to Oily Hair Fresh and Clean with Caffeine Helps Strengthen Thinning Hair 3 oz,shampoo,men,9372,4.6,,1.97,
B0CMVT1VS5,"Dove Men+Care 2-in-1 Shampoo + Conditioner Pure Fresh Orange & Sage for Strong, Healthy-Looking Hair, with Vitamin C & Mineral Complex, 17.5 oz",shampoo,men,39,4.6,,10.99,
B08Q45QR2G,"Method Men 2-in-1 Shampoo + Condtioner, Juniper + Sage, 14 Ounces.",shampoo,men,113,4.5,,10.98,
B08LJ5PMB8,"Old Spice Fiji 2-in-1 Shampoo and Conditioner for Men, Get Up To 80% Fuller-Looking Hair, 21.9 Fl Oz Each, Twin Pack",shampoo,men,3560,4.7,,17.58,
B07NFSPQ2H,"Head & Shoulders 2-In-1 Shampoo And Conditioner, Anti Dandruff Treatment And Scalp Care, Lemon-Lime Scent Of Old Spice Pure Sport, 31.4 Fl Oz Each, Twin (Packaging May Vary)",shampoo,men,8180,4.8,,27.81,
B01N97PCBH,"Fructis Pure Clean Purifying Shampoo, Silicone-Free, 12.5 Fl Oz, 1 Count (Packaging May Vary)",shampoo,men,20368,4.5,,3.47,
B0828MJDRT,"Cremo Bourbon & Oak Barber Grade 2-in-1 Shampoo & Conditioner, 16 Fl Oz (2-Pack) - A Sophisticated Blend of Distiller’s Spice, Fine Bourbon and White Oak",shampoo,men,4043,4.6,,17.98,
