ASIN,Product Name,Category,Keyword,Unit Count,Number of Reviews,Average Review Score,Manufacturer,Price
B00ADRH2OM,"OGX Thick &amp; Full + Biotin &amp; Collagen Volumizing Shampoo for Thin Hair, Thickening Shampoo with Vitamin B7 &amp; Hydrolyzed Wheat Protein, Paraben-Free, Sulfate-Free Surfactants, 13 fl oz",shampoo,women,13,5329,4.5,,$6.97
B07HMVMTN6,"Aveeno Scalp Soothing Shampoo, Apple Cider Vinegar Blend, 12 Fl Oz",shampoo,women,12,13770,4.4,,$5.99
B000TGEJT8,"OGX Nourishing Coconut Milk Shampoo for Strong, Healthy Hair with Coconut Oil, Egg White Protein, Sulfate-Free, 13 fl oz",shampoo,women,13,12730,4.6,,$6.97
B088SKYMF2,"Nexxus Clean and Pure Clarifying Shampoo, With ProteinFusion, Nourished Hair Care Silicone, Dye And Paraben Free 33.8 oz",shampoo,women,34,2421,4.5,,$18.99
B0BCR23QDG,"L’Oréal Paris Elvive Hyaluron Plump Hydrating Shampoo for Dehydrated, Dry Hair Infused with Hyaluronic Acid Care Complex, Paraben-Free, 12.6 Fl Oz",shampoo,women,12,1553,4.5,,$4.49
B000H0Y4NW,"Extra-Body Shampoo, Thickens + Volumizes, For Fine Hair",shampoo,women,10,4924,4.5,,$14.50
B084LHV2M1,Herbal Essences Hello hydration shampoo shampooing for hair 29.2 FL OZ (Packaging may vary),shampoo,women,30,2401,4.6,,$7.97
B084LHNR57,"Herbal Essences Rose Hips Smooth Shampoo, 29.2 fl oz",shampoo,women,29,3890,4.7,,$9.97
B084LJ5XJ3,"Herbal Essences Shine Collection Shampoo, 29.2 fl oz",shampoo,women,29,1999,4.7,,$9.97
B07D37PQGL,Olaplex No. 4 Bond Maintenance Shampoo,shampoo,women,8,70148,4.6,,$30.00
B000RYYI7K,Dove Ultra Care Shampoo Daily Moisture for Dry Hair Shampoo with Bio-Restore Complex 20.4 oz,shampoo,women,21,2199,4.6,,$5.98
B01MDTVV6T,"Fructis Curl Nourish Sulfate Free Moisturizing Shampoo, 12.5 Fl Oz, 1 Count (Packaging May Vary)",shampoo,women,12,5611,4.6,,$3.47
B0CP6D683W,"DOVE MEN+CARE DV M SH Charcoal 4p 31z Pump Purifying Shampoo Charcoal + Clay for Stronger, More Resilient Hair, with Plant-Based Cleansers, 31 oz",shampoo,men,31,31,4.9,,$9.99
B08Q427N3W,"Method Men 2-in-1 Shampoo and Conditioner, Sea and Surf, Paraben and Phthalate Free, 14 fl oz, 1 Ct",shampoo,men,14,316,4.6,,$10.98
