ASIN,Product Name,Category,Keyword,Number of Reviews,Average Review Score,Manufacturer,Price,Unit Count
B095T1YXG7,Schick Exacta2 Sensitive Disposable Razor 30p (10 Count x 3Pack),razors,men,98,4.7,,16.99,
B01IADVKQ6,"Bic Twin Select Mens Razors, 10 Count (Pack of 5)",razors,men,94,4.7,,22.5,
B0CNKTZ5V8,"BIC EasyRinse Anti-Clogging, Refillable Men's Razors With 4 Blades, 1 Handle and 9 Refill Razor Cartridges Razor Kit",razors,men,24,4.9,,16.92,
B0BCH327WX,"BIC US 5-Blade Unisex Shaving Razor For Men and Women, Lubricating Strip For a Smooth, Close Shave, 4 Cartridges",razors,men,75,4.7,,7.5,
B098JTZRFQ,"Disposable Razors in Bulk,razors individually wrapped bulk,Twin Blade Razors with Clear Safety Cap and Shaving Cream, Razors For Homeless, Hotel,Air Bnb,Shelter/Homeless/Travel (30PCS)",razors,men,70,4.7,,18.79,
B09NWKQGJ1,"BIC Flex 5 Refillable Razors for Men, Long-Lasting 5 Blade Razors for a Smooth and Comfortable Shave, 1 Handle and 7 Cartridges, 8 Piece Shaving Kit",razors,men,17701,4.6,,12.78,
B06X9V77XY,"Gillette Mach3 Razor for Men, 1 Razor Handle + 2 Blade Refills",razors,men,18427,4.6,,9.97,
B07SH9BCC9,"Harry's Razors for Men - Men's Razor Set with 5 Razor Blade Refills, Travel Blade Cover, 2 oz Shave Gel (Ember)",razors,men,13708,4.6,,19.99,
B08DGD3B4G,"Harry's Razors for Men - Shaving Kit for Men includes a Mens Razor Handle, 3 Razor Blade Refills, Travel Blade Cover, and 4 Oz Shave Gel",razors,men,12901,4.6,,14.99,
B001JQLNH8,"Gillette Mach3 Disposable Razors for Men, 6 Count, Designed for Sensitive Skin",razors,men,9265,4.6,,13.47,
B00I3N4F9I,"Gillette Mach3 Men's Disposable Razor, Sensitive, 6 Razors",razors,men,9265,4.6,,13.49,
B005FVBCI8,"Gillette Sensor2 Disposable Razors for Men, Water Activated Lubrastrip to Help Avoid Skin Irritation, 18 count",razors,men,6370,4.6,,14.97,
B07F38LXDM,"Head & Shoulders Dandruff Shampoo, Anti-Dandruff Treatment, Classic Clean for Daily Use, Paraben Free, 32.1 Fl Oz, Twin Pack",shampoo,women,11661,4.8,,29.69,
B07KYGWQ7H,"Aussie Paraben-Free Miracle Moist Shampoo with Avocado & Jojoba for Dry Hair, 30.4 Fluid Ounce, (Pack of 4)",shampoo,women,4297,4.8,,31.96,
B00PKV38IU,"Oat Protein & Henna Deep Cleansing Shampoo, 32oz",shampoo,women,4270,4.8,,23.99,
B091V9TL6R,Biolage Color Last Shampoo & Conditioner Set | Helps Protect Hair & Maintain Vibrant Color | For Color-Treated Hair | Paraben & Silicone-Free | Vegan,shampoo,women,3841,4.8,,84.0,
B07NH3RFN2,"Head & Shoulders Shampoo, Daily-Use Anti-Dandruff Paraben Free Treatment, Dry Scalp Care with Almond Oil, 32.1 fl oz, Twin Pack (Packaging May Vary)",shampoo,women,3435,4.8,,25.99,
B01LQ6TXLS,Shampoo by Fudge Clean Blonde Violet-Toning Shampoo 1000ml,shampoo,women,3026,4.8,,44.99,
B07F38G1RT,"Head & Shoulders Shampoo, Anti Dandruff Treatment and Scalp Care, Green Apple, 32.1 fl oz, Twin Pack",shampoo,women,2927,4.8,,25.99,
B01IA9DNBU,"Prell Shampoo, Classic Clean 13.50 oz (Pack of 3)",shampoo,women,2933,4.8,,17.33,
B007HNKIG4,"Avlon Keracare Hydrating Detangling Shampoo, 32 Ounce",shampoo,women,2027,4.8,,22.95,
B07GXW9277,Shampoo by Fudge Clean Blonde Damage Rewind Violet-Toning Shampoo 1000ml,shampoo,women,1845,4.8,,42.23,
B01IA9E378,"Prell Shampoo, Classic Clean 13.50 oz (Pack of 8)",shampoo,women,1533,4.8,,,
B003DVSTNI,"Creme Of Nature Professional Detangling & Conditioning Shampoo, 32 Oz",shampoo,women,1394,4.8,,,
B01N1KSQ9A,"Pantene Pro-V Daily Moisture Renewal Shampoo, 30.4 fl oz(Packaging May Vary)",shampoo,women,1393,4.8,,,
B000I3NC40,"Tea Tree Special Shampoo, 128 Fl Oz",shampoo,women,1228,4.8,,97.0,
B01M7R4XW0,"Aussie Total Miracle Shampoo, 30.4 Fluid Ounce, Pack of 4",shampoo,women,1217,4.8,,34.76,
B01N43MR2D,"Infusium Moisturize & Replenish Shampoo, 13.5 Ounce",shampoo,women,1219,4.8,,,
B003H2AU76,"Finesse Restore + Strengthen Moisturizing Shampoo, 13 oz (Pack of 6), Moisturize & Repair Dry or Damaged Hair for Soft, Healthy Looking Hair",shampoo,women,1078,4.8,,14.94,
B00E8J36FU,"DHS Zinc Shampoo, 16 Oz (Pack of 2)",shampoo,women,994,4.8,,,
B00H57715S,Avlon Affirm 5 In 1 Reconstructor 32 Ounce + Normalizing Shampoo 32 Ounc,shampoo,women,945,4.8,,44.99,
B08DJWPCJZ,Nioxin System 2 for Natural Hair with Progressed Thinning Cleanser Shampoo and Scalp Therapy Conditioner,shampoo,women,937,4.8,,93.0,
B00BFW95F8,Loma Moisturizing Shampoo 33 Ounce (Liter),shampoo,women,895,4.8,,42.0,
B097LMPG7C,"Hydra Source Shampoo & Conditioning Balm Set | Hair Repair | Hydrates & Moisturizes Hair | For Dry, Damaged Hair | Paraben & Silicone-Free | Vegan",shampoo,women,745,4.8,,48.0,
B076BS1R1J,"Pantene Pro-V Sheer Volume Shampoo, 12.6 Fl Oz, Pack of 4",shampoo,women,731,4.8,,,
B00QKY2QWU,Loma Nourishing Shampoo 33 Ounce (Liter) with ECommerce Authenticity Code,shampoo,women,702,4.8,,44.81,
